experiment,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high,N,F1_chance
felt touch,ASD,,gratitude,Precision,0.4230769230769231,7.553860303705084e-5,0.05505934013197609,0.31523192509771486,0.5300688945360658,960,0.2857142857142857
felt touch,ASD,,gratitude,Specificity,0.8560090702947846,-1.7366976430088776e-4,0.011901004194726467,0.8327767334030782,0.8789549216593299,960,0.2857142857142857
felt touch,ASD,,gratitude,F1,0.2773109243697479,-0.0010325343709532975,0.037727043474933095,0.19914121461664264,0.348459583116667,960,0.2857142857142857
felt touch,Control,,attention,Recall,0.965,5.959599740205102e-4,0.012966639394296807,0.9363673023190195,0.9892926692817229,1200,0.2857142857142857
felt touch,Control,,attention,Precision,0.6411960132890365,-0.0010916569365733153,0.02704111841744268,0.5868906197928727,0.6953315855006639,1200,0.2857142857142857
felt touch,Control,,attention,Specificity,0.9922135706340378,1.4914092311435478e-4,0.002885374014115466,0.9862409212517737,0.997714152681678,1200,0.2857142857142857
felt touch,Control,,attention,F1,0.7704590818363273,-9.329000599783699e-4,0.0205373348711243,0.7276344001444245,0.8077614057364046,1200,0.2857142857142857
felt touch,Control,,love,Recall,0.72,6.087426957217534e-4,0.03196170623817013,0.6571619586998537,0.7857054337732385,1200,0.2857142857142857
felt touch,Control,,love,Precision,0.7128712871287128,3.5694357550497546e-4,0.030607885423220033,0.6528603244495245,0.7714026478869332,1200,0.2857142857142857
felt touch,Control,,love,Specificity,0.9438877755511023,2.6427734035716632e-5,0.007244315309136356,0.9297051652394412,0.9585386322314615,1200,0.2857142857142857
felt touch,Control,,love,F1,0.7164179104477613,-5.098117868085339e-6,0.025115597494385057,0.6666666666666666,0.7633587786259542,1200,0.2857142857142857
felt touch,Control,,happiness,Recall,0.67,-6.725170562129623e-4,0.03286051996017575,0.6039656363594895,0.7346857764442585,1200,0.2857142857142857
felt touch,Control,,happiness,Precision,0.8933333333333333,9.60541368720591e-4,0.024910798321833454,0.8424734141249091,0.9403973509933775,1200,0.2857142857142857
felt touch,Control,,happiness,Specificity,0.9371428571428572,1.1627921838319732e-4,0.007305904318384907,0.9227888292606046,0.9507668022129548,1200,0.2857142857142857
felt touch,Control,,happiness,F1,0.7657142857142857,-5.708020588820473e-4,0.025168358457207045,0.7157391802934103,0.8150083596324486,1200,0.2857142857142857
felt touch,Control,,calming,Recall,0.71,4.053068353954137e-4,0.031179866843916427,0.6515318873984226,0.7715334733686743,1200,0.2857142857142857
felt touch,Control,,calming,Precision,0.5107913669064749,0.0011815171835046767,0.02933132963502923,0.45388345118382295,0.5659651395027661,1200,0.2857142857142857
felt touch,Control,,calming,Specificity,0.9370932754880694,1.6062371323788405e-5,0.007744153987861141,0.9220803842867615,0.9515383452723886,1200,0.2857142857142857
felt touch,Control,,calming,F1,0.594142259414226,4.476226298939512e-4,0.025874204966094067,0.5436168761074567,0.6463382955420712,1200,0.2857142857142857
felt touch,Control,,sadness,Recall,0.305,4.863147466740436e-4,0.03258417564033566,0.24066468205012254,0.37104690532615625,1200,0.2857142857142857
felt touch,Control,,sadness,Precision,0.7093023255813954,8.916726879441006e-4,0.04889996150492482,0.608365703688486,0.8045477516756698,1200,0.2857142857142857
felt touch,Control,,sadness,Specificity,0.8752244165170556,1.5653124671433094e-4,0.009901415575714648,0.8550858358045282,0.8936550491510277,1200,0.2857142857142857
felt touch,Control,,sadness,F1,0.42657342657342656,-1.9071338202253374e-4,0.036845566362101005,0.3538655576099987,0.49578852630066855,1200,0.2857142857142857
felt touch,Control,,gratitude,Recall,0.25,5.46618805926935e-4,0.03189945380198631,0.18881281481278062,0.316035191505103,1200,0.2857142857142857
felt touch,Control,,gratitude,Precision,0.5747126436781609,4.8311442094084445e-4,0.054944049908001995,0.454574689379523,0.6781609195402298,1200,0.2857142857142857
felt touch,Control,,gratitude,Specificity,0.8652291105121294,-1.9280085456974128e-4,0.01012809893752084,0.845261026567921,0.8833026146234666,1200,0.2857142857142857
felt touch,Control,,gratitude,F1,0.3484320557491289,-2.050244536322965e-4,0.037578559780488234,0.2723742494754977,0.41967213114754104,1200,0.2857142857142857
viewed touch,Control,,attention,Recall,1,0,0,NA,NA,126,0.2857142857142857
viewed touch,Control,,attention,Precision,0.6363636363636364,-0.0028762352840346894,0.08381349145603452,0.4738004808732518,0.7930112338627751,126,0.2857142857142857
viewed touch,Control,,attention,Specificity,1,0,0,NA,NA,126,0.2857142857142857
viewed touch,Control,,attention,F1,0.7777777777777778,-0.005428910507065066,0.064123829809455,0.6429638868521241,0.8845579070796256,126,0.2857142857142857
viewed touch,Control,,love,Recall,0.7142857142857143,1.2368354484171284e-4,0.09919425947014045,0.5238095238095238,0.9047619047619048,126,0.2857142857142857
viewed touch,Control,,love,Precision,0.8823529411764706,-0.0015084031682780497,0.08103173999659803,0.7,1,126,0.2857142857142857
viewed touch,Control,,love,Specificity,0.944954128440367,-1.4049167528451534e-5,0.02221116327217936,0.893852229449737,0.9821428571428571,126,0.2857142857142857
viewed touch,Control,,love,F1,0.7894736842105262,-0.005141676345035262,0.07464519011921544,0.6249999999999999,0.9229987536282908,126,0.2857142857142857
viewed touch,Control,,happiness,Recall,0.47619047619047616,-9.432656192782662e-4,0.11082476416363998,0.2631578947368421,0.7,126,0.2857142857142857
viewed touch,Control,,happiness,Precision,0.9090909090909091,0.001518219670317844,0.09298357710143892,0.6876221397634881,1,126,0.2857142857142857
viewed touch,Control,,happiness,Specificity,0.9043478260869565,-6.994283437528059e-4,0.027765710591445694,0.8461538461538461,0.9565120499348568,126,0.2857142857142857
viewed touch,Control,,happiness,F1,0.6249999999999999,-0.008260393689689338,0.10460872999447761,0.3874245815587809,0.807496884070727,126,0.2857142857142857
viewed touch,Control,,calming,Recall,0.8571428571428571,-8.924043967653006e-4,0.07640469125091244,0.6956521739130435,1,126,0.2857142857142857
viewed touch,Control,,calming,Precision,0.4864864864864865,-6.969843526907771e-4,0.07979694131311368,0.3333333333333333,0.6428106134234333,126,0.2857142857142857
