experiment,group,PID,cued,response,Hits,Total,Present,Selected,Misses,FalseAlarms,CorrectRejections,Recall,Precision,F1,F1chance
felt touch,ASD,asd12,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,ASD,asd12,calming,calming,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd12,gratitude,gratitude,2,60,10,7,8,5,45,0.2,0.2857142857142857,0.23529411764705882,0.2857142857142857
felt touch,ASD,asd12,happiness,happiness,5,60,10,5,5,0,50,0.5,1,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd12,love,love,9,60,10,11,1,2,48,0.9,0.8181818181818182,0.8571428571428572,0.2857142857142857
felt touch,ASD,asd12,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd13,attention,attention,9,61,10,20,1,11,40,0.9,0.45,0.6,0.28169014084507044
felt touch,ASD,asd13,calming,calming,9,61,10,15,1,6,45,0.9,0.6,0.7200000000000001,0.28169014084507044
felt touch,ASD,asd13,gratitude,gratitude,2,61,10,5,8,3,48,0.2,0.4,0.26666666666666666,0.28169014084507044
felt touch,ASD,asd13,happiness,happiness,0,61,11,4,11,4,46,0,0,0,0.3055555555555556
felt touch,ASD,asd13,love,love,0,61,10,8,10,8,43,0,0,0,0.28169014084507044
felt touch,ASD,asd13,sadness,sadness,0,61,10,4,10,4,47,0,0,0,0.28169014084507044
felt touch,ASD,asd14,attention,attention,10,60,10,15,0,5,45,1,0.6666666666666666,0.8,0.2857142857142857
felt touch,ASD,asd14,calming,calming,5,60,10,12,5,7,43,0.5,0.4166666666666667,0.45454545454545453,0.2857142857142857
felt touch,ASD,asd14,gratitude,gratitude,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd14,happiness,happiness,7,60,10,9,3,2,48,0.7,0.7777777777777778,0.7368421052631577,0.2857142857142857
felt touch,ASD,asd14,love,love,2,60,10,5,8,3,47,0.2,0.4,0.26666666666666666,0.2857142857142857
felt touch,ASD,asd14,sadness,sadness,1,60,10,6,9,5,45,0.1,0.16666666666666666,0.125,0.2857142857142857
felt touch,ASD,asd15,attention,attention,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd15,calming,calming,3,60,10,5,7,2,48,0.3,0.6,0.4,0.2857142857142857
felt touch,ASD,asd15,gratitude,gratitude,2,60,10,6,8,4,46,0.2,0.3333333333333333,0.25,0.2857142857142857
felt touch,ASD,asd15,happiness,happiness,4,60,10,7,6,3,47,0.4,0.5714285714285714,0.47058823529411764,0.2857142857142857
felt touch,ASD,asd15,love,love,7,60,10,8,3,1,49,0.7,0.875,0.7777777777777777,0.2857142857142857
felt touch,ASD,asd15,sadness,sadness,1,60,10,7,9,6,44,0.1,0.14285714285714285,0.11764705882352941,0.2857142857142857
felt touch,ASD,asd16,attention,attention,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd16,calming,calming,6,60,10,9,4,3,47,0.6,0.6666666666666666,0.631578947368421,0.2857142857142857
felt touch,ASD,asd16,gratitude,gratitude,4,60,10,6,6,2,48,0.4,0.6666666666666666,0.5,0.2857142857142857
felt touch,ASD,asd16,happiness,happiness,4,60,10,6,6,2,48,0.4,0.6666666666666666,0.5,0.2857142857142857
felt touch,ASD,asd16,love,love,6,60,10,9,4,3,47,0.6,0.6666666666666666,0.631578947368421,0.2857142857142857
felt touch,ASD,asd16,sadness,sadness,4,60,10,8,6,4,46,0.4,0.5,0.4444444444444445,0.2857142857142857
felt touch,ASD,asd17,attention,attention,9,60,10,13,1,4,46,0.9,0.6923076923076923,0.7826086956521738,0.2857142857142857
felt touch,ASD,asd17,calming,calming,2,60,10,11,8,9,41,0.2,0.18181818181818182,0.1904761904761905,0.2857142857142857
felt touch,ASD,asd17,gratitude,gratitude,4,60,10,9,6,5,45,0.4,0.4444444444444444,0.4210526315789474,0.2857142857142857
felt touch,ASD,asd17,happiness,happiness,0,60,10,5,10,5,45,0,0,0,0.2857142857142857
felt touch,ASD,asd17,love,love,4,60,10,9,6,5,45,0.4,0.4444444444444444,0.4210526315789474,0.2857142857142857
felt touch,ASD,asd17,sadness,sadness,0,60,10,9,10,9,41,0,0,0,0.2857142857142857
felt touch,ASD,asd18,attention,attention,10,60,10,19,0,9,41,1,0.5263157894736842,0.6896551724137931,0.2857142857142857
felt touch,ASD,asd18,calming,calming,9,60,10,21,1,12,38,0.9,0.42857142857142855,0.5806451612903225,0.2857142857142857
felt touch,ASD,asd18,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd18,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd18,love,love,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd18,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd20,attention,attention,8,60,10,24,2,16,34,0.8,0.3333333333333333,0.47058823529411764,0.2857142857142857
