PID,group,task,trial,cued,response
R_3HuEN0MZTrCa7Rj,Control,forced choice,2,happiness,6.800000000000001
R_3HuEN0MZTrCa7Rj,Control,forced choice,3,calming,9.8
R_3HuEN0MZTrCa7Rj,Control,forced choice,4,gratitude,6
R_3HuEN0MZTrCa7Rj,Control,forced choice,5,attention,1.1999999999999993
R_3HuEN0MZTrCa7Rj,Control,forced choice,6,love,4.6
R_2dWvDauPFTp9ytu,Control,free text,1,calming,-5.2
R_2dWvDauPFTp9ytu,Control,free text,2,sadness,1.4000000000000004
R_2dWvDauPFTp9ytu,Control,free text,3,love,-9
R_2dWvDauPFTp9ytu,Control,free text,4,happiness,6.399999999999999
R_2dWvDauPFTp9ytu,Control,free text,5,attention,0.40000000000000036
R_2dWvDauPFTp9ytu,Control,free text,6,gratitude,1.5999999999999996
R_2THHedY0eKGKTcM,Control,forced choice,1,love,4
R_2THHedY0eKGKTcM,Control,forced choice,2,sadness,-3.8
R_2THHedY0eKGKTcM,Control,forced choice,3,gratitude,-4.8
R_2THHedY0eKGKTcM,Control,forced choice,4,calming,4
R_2THHedY0eKGKTcM,Control,forced choice,5,happiness,10
R_2THHedY0eKGKTcM,Control,forced choice,6,attention,6.800000000000001
R_2xDizOor3w10EXu,Control,free text,1,happiness,0.5999999999999996
R_2xDizOor3w10EXu,Control,free text,2,sadness,-1
R_2xDizOor3w10EXu,Control,free text,3,love,2.4000000000000004
R_2xDizOor3w10EXu,Control,free text,4,calming,3.1999999999999993
R_2xDizOor3w10EXu,Control,free text,5,gratitude,-6
R_2xDizOor3w10EXu,Control,free text,6,attention,-7.2
R_3KUcoc1L4zGUBHN,Control,forced choice,1,calming,3.8000000000000007
R_3KUcoc1L4zGUBHN,Control,forced choice,2,attention,1.5999999999999996
R_3KUcoc1L4zGUBHN,Control,forced choice,3,love,9
R_3KUcoc1L4zGUBHN,Control,forced choice,4,sadness,7.199999999999999
R_3KUcoc1L4zGUBHN,Control,forced choice,5,happiness,-1.8000000000000007
R_3KUcoc1L4zGUBHN,Control,forced choice,6,gratitude,3
R_vSH3NwzmJivuid3,ASD,forced choice,1,love,10
R_vSH3NwzmJivuid3,ASD,forced choice,2,calming,0.1999999999999993
R_vSH3NwzmJivuid3,ASD,forced choice,3,gratitude,-3.4000000000000004
R_vSH3NwzmJivuid3,ASD,forced choice,4,happiness,3.1999999999999993
R_vSH3NwzmJivuid3,ASD,forced choice,5,attention,-10
R_vSH3NwzmJivuid3,ASD,forced choice,6,sadness,5.4
R_2zCHckOxfeZXIDO,Control,free text,1,attention,-6
R_2zCHckOxfeZXIDO,Control,free text,2,gratitude,6.199999999999999
R_2zCHckOxfeZXIDO,Control,free text,3,calming,10
R_2zCHckOxfeZXIDO,Control,free text,4,sadness,10
R_2zCHckOxfeZXIDO,Control,free text,5,happiness,-10
R_2zCHckOxfeZXIDO,Control,free text,6,love,10
R_wM2cSGe8QtCkjct,Control,free text,1,sadness,4
R_wM2cSGe8QtCkjct,Control,free text,2,calming,1.8000000000000007
R_wM2cSGe8QtCkjct,Control,free text,3,attention,-8.8
R_wM2cSGe8QtCkjct,Control,free text,4,happiness,2
R_wM2cSGe8QtCkjct,Control,free text,5,love,10
R_wM2cSGe8QtCkjct,Control,free text,6,gratitude,-5.2
R_1E1hgLCsWPNdlG8,Control,forced choice,1,sadness,6.199999999999999
R_1E1hgLCsWPNdlG8,Control,forced choice,2,calming,7.399999999999999
R_1E1hgLCsWPNdlG8,Control,forced choice,3,happiness,3.4000000000000004
R_1E1hgLCsWPNdlG8,Control,forced choice,4,love,8.399999999999999
