experiment,PID,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high
felt touch,sub18,Control,,calming,Recall,0.9,0.0037879708827464054,0.09727368706815663,0.6666666666666666,1
felt touch,sub18,Control,,calming,Precision,0.4090909090909091,7.773278781707527e-4,0.10670759330729906,0.20833333333333334,0.6248487793404436
felt touch,sub18,Control,,calming,Specificity,0.9736842105263158,0.0011119121387784814,0.025109935259469893,0.9166666666666666,1
felt touch,sub18,Control,,calming,F1,0.5625000000000001,-0.0063041984351189795,0.1082902585946768,0.3333333333333333,0.756585100872936
felt touch,sub18,Control,,calming,F1chance,0.2857142857142857,-0.0036049135220909134,0.07002724944504457,0.125,0.4210526315789474
felt touch,sub18,Control,,sadness,Recall,0,0,0,NA,NA
felt touch,sub18,Control,,sadness,Precision,0,0,0,NA,NA
felt touch,sub18,Control,,sadness,Specificity,0.8305084745762712,3.2788008155981707e-4,0.049026515584614086,0.7289283845008159,0.9310344827586207
felt touch,sub18,Control,,sadness,F1,0,0,0,NA,NA
felt touch,sub18,Control,,sadness,F1chance,0.2857142857142857,-0.0032476478147717702,0.07096641631380608,0.125,0.4210526315789474
felt touch,sub18,Control,,gratitude,Recall,0,0,0,NA,NA
felt touch,sub18,Control,,gratitude,Precision,0,0,0,NA,NA
felt touch,sub18,Control,,gratitude,Specificity,0.8333333333333334,-8.166666666666877e-4,0.04725415219156712,0.7333333333333333,0.9166666666666666
felt touch,sub18,Control,,gratitude,F1,0,0,0,NA,NA
felt touch,sub18,Control,,gratitude,F1chance,0.2857142857142857,-0.001605199413982461,0.06946619036056023,0.15384615384615385,0.4210526315789474
felt touch,sub21,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub21,Control,,attention,Precision,0.37037037037037035,-1.8566703368083637e-6,0.09502157423310931,0.18518518518518517,0.5714285714285714
felt touch,sub21,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub21,Control,,attention,F1,0.5405405405405406,-0.00700980132455864,0.10165844865363635,0.3125,0.7272727272727273
felt touch,sub21,Control,,attention,F1chance,0.2857142857142857,-0.0028000053292118743,0.07003001555645572,0.15384615384615385,0.4210526315789474
felt touch,sub21,Control,,love,Recall,0.1,0.0011855097903472472,0.10327959022023073,0,0.3333333333333333
felt touch,sub21,Control,,love,Precision,0.1111111111111111,0.004838580863580869,0.11698794461116452,0,0.4
felt touch,sub21,Control,,love,Specificity,0.8235294117647058,1.6497910571555696e-4,0.052862474505596654,0.71698113207547165,0.9215287763595208
felt touch,sub21,Control,,love,F1,0.10526315789473685,-0.002572028709291782,0.09684383970220169,0,0.3157894736842105
felt touch,sub21,Control,,love,F1chance,0.2857142857142857,-0.0023356517520531916,0.07103639780636933,0.15384615384615385,0.4210526315789474
felt touch,sub21,Control,,happiness,Recall,0.2,0.004892492229992218,0.14541339280596435,0,0.5
felt touch,sub21,Control,,happiness,Precision,1,-0.14400000000000002,0.35126540875438816,0,1
felt touch,sub21,Control,,happiness,Specificity,0.8620689655172413,-0.0013016935223870707,0.0460343196957222,0.7627118644067796,0.9473445441063858
felt touch,sub21,Control,,happiness,F1,0.33333333333333337,-0.016215755460246006,0.1933115337594718,0,0.6666666666666666
felt touch,sub21,Control,,happiness,F1chance,0.2857142857142857,5.838466893586802e-4,0.07019717942253935,0.15384615384615385,0.4210526315789474
felt touch,sub21,Control,,calming,Recall,0.2,0.004000342240319005,0.13432617616025752,0,0.5
felt touch,sub21,Control,,calming,Precision,0.1,0.001457442641644921,0.06967191360861687,0,0.2631578947368421
felt touch,sub21,Control,,calming,Specificity,0.8,0.002532033829735769,0.06320206360632125,0.6666666666666666,0.9165746193086758
felt touch,sub21,Control,,calming,F1,0.13333333333333333,-0.001742225487426724,0.08535192636104755,0,0.31570590437235035
felt touch,sub21,Control,,calming,F1chance,0.2857142857142857,-0.004709968825857003,0.07080212834271524,0.15384615384615385,0.4210526315789474
felt touch,sub21,Control,,sadness,Recall,0,0,0,NA,NA
felt touch,sub21,Control,,sadness,Precision,0,0,0,NA,NA
felt touch,sub21,Control,,sadness,Specificity,0.8333333333333334,3.666666666666263e-4,0.047684442203411295,0.75,0.9166666666666666
felt touch,sub21,Control,,sadness,F1,0,0,0,NA,NA
felt touch,sub21,Control,,sadness,F1chance,0.2857142857142857,-0.0033997924011729963,0.07014713032746088,0.15384615384615385,0.4
felt touch,sub21,Control,,gratitude,Recall,0.1,-0.0026364420752965773,0.09807337246158834,0,0.3333333333333333
felt touch,sub21,Control,,gratitude,Precision,0.5,-0.08396904761904761,0.38610045547670063,0,1
felt touch,sub21,Control,,gratitude,Specificity,0.8448275862068966,8.296965514247301e-4,0.04514228405086857,0.75,0.9298245614035088
felt touch,sub21,Control,,gratitude,F1,0.16666666666666669,-0.016247050893722748,0.14090892314024833,0,0.4444444444444444
felt touch,sub21,Control,,gratitude,F1chance,0.2857142857142857,-0.0044323540675386686,0.06713664750893891,0.15384615384615385,0.4210526315789474
felt touch,sub22,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub22,Control,,attention,Precision,0.625,-0.008390246657927758,0.12531984038232047,0.3333333333333333,0.8499022881892097
felt touch,sub22,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub22,Control,,attention,F1,0.7692307692307693,-0.014123383713721016,0.10056347739141647,0.5,0.9188617002909786
felt touch,sub22,Control,,attention,F1chance,0.2857142857142857,-0.006090703711464085,0.07325989007354224,0.125,0.4210526315789474
felt touch,sub22,Control,,love,Recall,0.2,-7.138304377081739e-4,0.1343000902118346,0,0.5
felt touch,sub22,Control,,love,Precision,0.3333333333333333,-0.006642997280497276,0.21085393951672046,0,0.75
felt touch,sub22,Control,,love,Specificity,0.8518518518518519,9.740193005745024e-4,0.04904415585352631,0.75,0.9433962264150944
felt touch,sub22,Control,,love,F1,0.25,-0.015280217491146802,0.14286055199036932,0,0.5217391304347826
felt touch,sub22,Control,,love,F1chance,0.2857142857142857,-0.0053314339715939685,0.06996087786938647,0.15384615384615385,0.4210526315789474
felt touch,sub22,Control,,happiness,Recall,0.6,-0.0059850968046401,0.15955756005521565,0.2727272727272727,0.8888888888888888
felt touch,sub22,Control,,happiness,Precision,1,-0.0020000000000000018,0.04469897088298564,1,1
felt touch,sub22,Control,,happiness,Specificity,0.9259259259259259,-0.0014080559344986643,0.035702799875869176,0.8392857142857143,0.9821346087432449
felt touch,sub22,Control,,happiness,F1,0.7499999999999999,-0.01803332995370488,0.13513863532393794,0.42857142857142855,0.9411764705882353
felt touch,sub22,Control,,happiness,F1chance,0.2857142857142857,-0.0019226878276092374,0.06978369461597164,0.15384615384615385,0.4210526315789474
felt touch,sub22,Control,,calming,Recall,0.7,-0.005310465708182388,0.15448211140500645,0.36363636363636365,1
felt touch,sub22,Control,,calming,Precision,0.5833333333333334,0.007058432235903966,0.1492583271493896,0.2857142857142857,0.8888888888888888
felt touch,sub22,Control,,calming,Specificity,0.9375,-0.0019008227321678506,0.03519403517051892,0.8571428571428571,1
felt touch,sub22,Control,,calming,F1,0.6363636363636365,-0.00984587503245582,0.12788895490028604,0.3333333333333333,0.8333333333333334
felt touch,sub22,Control,,calming,F1chance,0.2857142857142857,5.518596343078164e-4,0.0710561960232471,0.15384615384615385,0.4210526315789474
felt touch,sub22,Control,,sadness,Recall,0.4,0.007464506318414943,0.16216715470493603,0.1111111111111111,0.7142857142857143
felt touch,sub22,Control,,sadness,Precision,1,-0.017000000000000015,0.1293357171384909,1,1
felt touch,sub22,Control,,sadness,Specificity,0.8928571428571429,8.037864225486357e-4,0.039478136629266476,0.8070346862825948,0.9649122807017544
felt touch,sub22,Control,,sadness,F1,0.5714285714285715,-0.011814052927350271,0.17091194000323523,0.19999999999999998,0.8333333333333333
felt touch,sub22,Control,,sadness,F1chance,0.2857142857142857,-0.001298795377554618,0.06984533802150011,0.15384615384615385,0.4210526315789474
felt touch,sub22,Control,,gratitude,Recall,0,0,0,NA,NA
felt touch,sub22,Control,,gratitude,Precision,0,0,0,NA,NA
felt touch,sub22,Control,,gratitude,Specificity,0.8275862068965517,2.3741547616840109e-4,0.04880291736538336,0.7273118722200393,0.9137931034482759
felt touch,sub22,Control,,gratitude,F1,0,0,0,NA,NA
felt touch,sub22,Control,,gratitude,F1chance,0.2857142857142857,-0.003305621693849514,0.06869573007739113,0.15384615384615385,0.4210526315789474
felt touch,sub24,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub24,Control,,attention,Precision,0.8333333333333334,0.0030512861278727543,0.11202416989384091,0.5837567511800921,1
felt touch,sub24,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub24,Control,,attention,F1,0.9090909090909091,-0.0024198832007708004,0.06972183220044609,0.7371763825105989,1
felt touch,sub24,Control,,attention,F1chance,0.2857142857142857,-0.003595190144225713,0.066604264052153,0.15384615384615385,0.4210526315789474
felt touch,sub24,Control,,love,Recall,1,0,0,NA,NA
felt touch,sub24,Control,,love,Precision,1,0,0,NA,NA
felt touch,sub24,Control,,love,Specificity,1,0,0,NA,NA
felt touch,sub24,Control,,love,F1,1,0,0,NA,NA
felt touch,sub24,Control,,love,F1chance,0.2857142857142857,-0.0030553602227355037,0.0714626398949607,0.15384615384615385,0.4210526315789474
felt touch,sub24,Control,,happiness,Recall,1,0,0,NA,NA
felt touch,sub24,Control,,happiness,Precision,1,0,0,NA,NA
felt touch,sub24,Control,,happiness,Specificity,1,0,0,NA,NA
felt touch,sub24,Control,,happiness,F1,1,0,0,NA,NA
felt touch,sub24,Control,,happiness,F1chance,0.2857142857142857,-0.004591614707030844,0.06906085430879177,0.15384615384615385,0.42051778798304246
felt touch,sub24,Control,,calming,Recall,1,0,0,NA,NA
felt touch,sub24,Control,,calming,Precision,0.9090909090909091,0.0026110679267413728,0.0890071085778918,0.7142857142857143,1
felt touch,sub24,Control,,calming,Specificity,1,0,0,NA,NA
felt touch,sub24,Control,,calming,F1,0.9523809523809523,-9.764553743971671e-4,0.0519301450191268,0.8333333333333333,1
felt touch,sub24,Control,,calming,F1chance,0.2857142857142857,8.511114694398914e-4,0.07032888074200268,0.15384615384615385,0.4210526315789474
felt touch,sub24,Control,,sadness,Recall,0.9,-2.812022901419464e-4,0.10207467208909406,0.6666666666666666,1
felt touch,sub24,Control,,sadness,Precision,1,-0.0010000000000000009,0.03162277660168379,1,1
felt touch,sub24,Control,,sadness,Specificity,0.9803921568627451,1.9830789487240708e-4,0.019771923269263404,0.9362039961047945,1
felt touch,sub24,Control,,sadness,F1,0.9473684210526316,-0.0035442823792061207,0.0645162348815325,0.8,1
felt touch,sub24,Control,,sadness,F1chance,0.2857142857142857,-0.003879939298660484,0.06949326470796051,0.15384615384615385,0.4210526315789474
felt touch,sub24,Control,,gratitude,Recall,0.8,0.006385407901352114,0.1311933223073319,0.5,1
felt touch,sub24,Control,,gratitude,Precision,1,0,0,NA,NA
felt touch,sub24,Control,,gratitude,Specificity,0.9615384615384616,8.476702671184055e-4,0.026713723149082467,0.9056603773584906,1
felt touch,sub24,Control,,gratitude,F1,0.888888888888889,-0.00221113442412868,0.08505892153393323,0.6666666666666666,1
felt touch,sub24,Control,,gratitude,F1chance,0.2857142857142857,-0.0025795251756909887,0.06913631787761758,0.15384615384615385,0.4210526315789474
felt touch,sub25,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub25,Control,,attention,Precision,0.5,0.0015673832407485655,0.11591610705629625,0.2631578947368421,0.7142857142857143
felt touch,sub25,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub25,Control,,attention,F1,0.6666666666666666,-0.006763315269290304,0.10636483632785595,0.4166666666666667,0.8333333333333333
felt touch,sub25,Control,,attention,F1chance,0.2857142857142857,-0.0013913461343763034,0.06980145323459747,0.15384615384615385,0.4210526315789474
felt touch,sub25,Control,,love,Recall,1,0,0,NA,NA
felt touch,sub25,Control,,love,Precision,1,0,0,NA,NA
felt touch,sub25,Control,,love,Specificity,1,0,0,NA,NA
felt touch,sub25,Control,,love,F1,1,0,0,NA,NA
felt touch,sub25,Control,,love,F1chance,0.2857142857142857,-0.004033340003259889,0.07037309265442401,0.125,0.4210526315789474
felt touch,sub25,Control,,happiness,Recall,1,0,0,NA,NA
felt touch,sub25,Control,,happiness,Precision,1,0,0,NA,NA
felt touch,sub25,Control,,happiness,Specificity,1,0,0,NA,NA
felt touch,sub25,Control,,happiness,F1,1,0,0,NA,NA
felt touch,sub25,Control,,happiness,F1chance,0.2857142857142857,-0.007621806990551594,0.07065321339761049,0.15384615384615385,0.4210526315789474
felt touch,sub25,Control,,calming,Recall,1,0,0,NA,NA
felt touch,sub25,Control,,calming,Precision,0.9090909090909091,0.0013070609258303278,0.08832822905992242,0.7,1
felt touch,sub25,Control,,calming,Specificity,1,0,0,NA,NA
felt touch,sub25,Control,,calming,F1,0.9523809523809523,-0.0016370976161240725,0.05110262021143683,0.8235294117647058,1
felt touch,sub25,Control,,calming,F1chance,0.2857142857142857,-3.4911455881619924e-4,0.07098843743932136,0.15384615384615385,0.4210526315789474
felt touch,sub25,Control,,sadness,Recall,0,0,0,NA,NA
felt touch,sub25,Control,,sadness,Precision,0,0,0,NA,NA
felt touch,sub25,Control,,sadness,Specificity,0.8333333333333334,-2.500000000000835e-4,0.047289962012818744,0.733756751180092,0.9166666666666666
felt touch,sub25,Control,,sadness,F1,0,0,0,NA,NA
felt touch,sub25,Control,,sadness,F1chance,0.2857142857142857,-0.0024323343156240074,0.06926671647733466,0.15384615384615385,0.42051778798304246
felt touch,sub25,Control,,gratitude,Recall,0,0,0,NA,NA
felt touch,sub25,Control,,gratitude,Precision,0,0,0,NA,NA
felt touch,sub25,Control,,gratitude,Specificity,0.803921568627451,-0.0010715934573669594,0.05923325082142753,0.6800216213368558,0.9073630239853154
felt touch,sub25,Control,,gratitude,F1,0,0,0,NA,NA
felt touch,sub25,Control,,gratitude,F1chance,0.2857142857142857,-0.0018431403255869672,0.07476732043900855,0.15384615384615385,0.4210526315789474
felt touch,sub26,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub26,Control,,attention,Precision,0.5,2.520905780839522e-4,0.1153459070650107,0.2608695652173913,0.7272727272727273
felt touch,sub26,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub26,Control,,attention,F1,0.6666666666666666,-0.007804499205260607,0.10514021580616877,0.41379310344827586,0.8421052631578948
felt touch,sub26,Control,,attention,F1chance,0.2857142857142857,-8.814093762128383e-4,0.07464978761027222,0.12573283858092854,0.4210526315789474
felt touch,sub26,Control,,love,Recall,1,0,0,NA,NA
felt touch,sub26,Control,,love,Precision,1,0,0,NA,NA
felt touch,sub26,Control,,love,Specificity,1,0,0,NA,NA
felt touch,sub26,Control,,love,F1,1,0,0,NA,NA
felt touch,sub26,Control,,love,F1chance,0.2857142857142857,-5.911678857113967e-4,0.06880392338025845,0.15384615384615385,0.4210526315789474
felt touch,sub26,Control,,happiness,Recall,1,0,0,NA,NA
felt touch,sub26,Control,,happiness,Precision,1,0,0,NA,NA
felt touch,sub26,Control,,happiness,Specificity,1,0,0,NA,NA
felt touch,sub26,Control,,happiness,F1,1,0,0,NA,NA
felt touch,sub26,Control,,happiness,F1chance,0.2857142857142857,-0.0025143293418508073,0.06902727084481482,0.15384615384615385,0.4210526315789474
felt touch,sub26,Control,,calming,Recall,1,0,0,NA,NA
felt touch,sub26,Control,,calming,Precision,0.9090909090909091,-6.5331576747929e-5,0.09252710288160776,0.7,1
felt touch,sub26,Control,,calming,Specificity,1,0,0,NA,NA
felt touch,sub26,Control,,calming,F1,0.9523809523809523,-0.0027026305493661473,0.05540760829207065,0.8235294117647058,1
felt touch,sub26,Control,,calming,F1chance,0.2857142857142857,-0.006366275067549665,0.06970051936548903,0.125,0.42051778798304246
felt touch,sub26,Control,,sadness,Recall,0.9,0.0013449690445432871,0.09909535044041326,0.6666666666666666,1
felt touch,sub26,Control,,sadness,Precision,1,0,0,NA,NA
felt touch,sub26,Control,,sadness,Specificity,0.9803921568627451,3.7309006670271927e-4,0.018880387997927774,0.9388066184540477,1
felt touch,sub26,Control,,sadness,F1,0.9473684210526316,-0.002321500912773611,0.05916578613712642,0.8,1
felt touch,sub26,Control,,sadness,F1chance,0.2857142857142857,-0.00494363141181825,0.07004685329124777,0.15384615384615385,0.4210526315789474
felt touch,sub26,Control,,gratitude,Recall,0,0,0,NA,NA
felt touch,sub26,Control,,gratitude,Precision,0,0,0,NA,NA
felt touch,sub26,Control,,gratitude,Specificity,0.8333333333333334,-5.500000000000504e-4,0.04814981613342434,0.7333333333333333,0.9166666666666666
felt touch,sub26,Control,,gratitude,F1,0,0,0,NA,NA
felt touch,sub26,Control,,gratitude,F1chance,0.2857142857142857,-0.002097883588103089,0.0706152888109391,0.15384615384615385,0.4210526315789474
felt touch,sub27,Control,,attention,Recall,1,0,0,NA,NA
felt touch,sub27,Control,,attention,Precision,1,0,0,NA,NA
felt touch,sub27,Control,,attention,Specificity,1,0,0,NA,NA
felt touch,sub27,Control,,attention,F1,1,0,0,NA,NA
felt touch,sub27,Control,,attention,F1chance,0.2857142857142857,-0.00392277485377196,0.06920280897701078,0.15384615384615385,0.4210526315789474
felt touch,sub27,Control,,love,Recall,1,0,0,NA,NA
