experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd03,ASD,3,forced choice,37,sadness,sadness
felt touch,asd03,ASD,3,forced choice,38,calming,love
felt touch,asd03,ASD,3,forced choice,39,love,calming
felt touch,asd03,ASD,3,forced choice,40,attention,attention
felt touch,asd03,ASD,3,forced choice,41,happiness,attention
felt touch,asd03,ASD,3,forced choice,42,gratitude,attention
felt touch,asd03,ASD,3,forced choice,43,calming,love
felt touch,asd03,ASD,3,forced choice,44,gratitude,attention
felt touch,asd03,ASD,3,forced choice,45,love,calming
felt touch,asd03,ASD,3,forced choice,46,happiness,attention
felt touch,asd03,ASD,3,forced choice,47,sadness,sadness
felt touch,asd03,ASD,3,forced choice,48,attention,attention
felt touch,asd03,ASD,3,forced choice,49,gratitude,attention
felt touch,asd03,ASD,3,forced choice,50,attention,attention
felt touch,asd03,ASD,3,forced choice,51,happiness,attention
felt touch,asd03,ASD,3,forced choice,52,calming,love
felt touch,asd03,ASD,3,forced choice,53,love,calming
felt touch,asd03,ASD,3,forced choice,54,sadness,sadness
felt touch,asd03,ASD,3,forced choice,55,calming,love
felt touch,asd03,ASD,3,forced choice,56,sadness,sadness
felt touch,asd03,ASD,3,forced choice,57,gratitude,attention
felt touch,asd03,ASD,3,forced choice,58,love,calming
felt touch,asd03,ASD,3,forced choice,59,happiness,attention
felt touch,asd03,ASD,3,forced choice,60,attention,attention
felt touch,asd04,ASD,3,forced choice,1,sadness,calming
felt touch,asd04,ASD,3,forced choice,2,happiness,happiness
felt touch,asd04,ASD,3,forced choice,3,calming,calming
felt touch,asd04,ASD,3,forced choice,4,attention,attention
felt touch,asd04,ASD,3,forced choice,5,love,love
felt touch,asd04,ASD,3,forced choice,6,gratitude,attention
felt touch,asd04,ASD,3,forced choice,7,gratitude,attention
felt touch,asd04,ASD,3,forced choice,8,happiness,happiness
felt touch,asd04,ASD,3,forced choice,9,calming,sadness
felt touch,asd04,ASD,3,forced choice,10,sadness,calming
felt touch,asd04,ASD,3,forced choice,11,attention,attention
felt touch,asd04,ASD,3,forced choice,12,love,love
felt touch,asd04,ASD,3,forced choice,13,love,love
felt touch,asd04,ASD,3,forced choice,14,attention,attention
felt touch,asd04,ASD,3,forced choice,15,happiness,happiness
felt touch,asd04,ASD,3,forced choice,16,sadness,sadness
felt touch,asd04,ASD,3,forced choice,17,gratitude,attention
felt touch,asd04,ASD,3,forced choice,18,calming,gratitude
felt touch,asd04,ASD,3,forced choice,19,calming,love
felt touch,asd04,ASD,3,forced choice,20,love,love
felt touch,asd04,ASD,3,forced choice,21,attention,attention
felt touch,asd04,ASD,3,forced choice,22,sadness,gratitude
felt touch,asd04,ASD,3,forced choice,23,gratitude,attention
felt touch,asd04,ASD,3,forced choice,24,happiness,happiness
