experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd26,ASD,3,forced choice,3,gratitude,3.4000000000000004
felt touch,asd26,ASD,3,forced choice,4,calming,6.800000000000001
felt touch,asd26,ASD,3,forced choice,5,happiness,-3.4000000000000004
felt touch,asd26,ASD,3,forced choice,6,attention,-0.4000000000000003
felt touch,asd27,ASD,3,forced choice,1,sadness,0.09999999999999964
felt touch,asd27,ASD,3,forced choice,2,calming,-3.7
felt touch,asd27,ASD,3,forced choice,3,love,4.1
felt touch,asd27,ASD,3,forced choice,4,happiness,-3.5999999999999996
felt touch,asd27,ASD,3,forced choice,5,attention,0.09999999999999964
felt touch,asd27,ASD,3,forced choice,6,gratitude,0.1999999999999993
felt touch,asd28,ASD,1,forced choice,1,sadness,-3.5999999999999996
felt touch,asd28,ASD,1,forced choice,2,calming,-6.1
felt touch,asd28,ASD,1,forced choice,3,gratitude,-10
felt touch,asd28,ASD,1,forced choice,4,attention,10
felt touch,asd28,ASD,1,forced choice,5,happiness,6.600000000000001
felt touch,asd28,ASD,1,forced choice,6,love,-5.5
felt touch,asd29,ASD,1,forced choice,1,calming,0.09999999999999964
felt touch,asd29,ASD,1,forced choice,2,happiness,-2.3
felt touch,asd29,ASD,1,forced choice,3,gratitude,1
felt touch,asd29,ASD,1,forced choice,4,sadness,2.1999999999999993
felt touch,asd29,ASD,1,forced choice,5,attention,-1.8000000000000007
felt touch,asd29,ASD,1,forced choice,6,love,3
felt touch,asd30,ASD,1,forced choice,1,happiness,0.4000000000000003
felt touch,asd30,ASD,1,forced choice,2,gratitude,2.3000000000000007
felt touch,asd30,ASD,1,forced choice,3,attention,-2.5
felt touch,asd30,ASD,1,forced choice,4,sadness,0.4000000000000003
felt touch,asd30,ASD,1,forced choice,5,calming,7.600000000000001
felt touch,asd30,ASD,1,forced choice,6,love,9.4
felt touch,asd31,ASD,1,forced choice,1,sadness,9.9
felt touch,asd31,ASD,1,forced choice,2,love,1.4000000000000004
felt touch,asd31,ASD,1,forced choice,3,happiness,-4.3
felt touch,asd31,ASD,1,forced choice,4,attention,-4.8
felt touch,asd31,ASD,1,forced choice,5,calming,10
felt touch,asd31,ASD,1,forced choice,6,gratitude,-0.3000000000000007
felt touch,asd32,ASD,1,forced choice,1,sadness,4.6
felt touch,asd32,ASD,1,forced choice,2,love,6.899999999999999
felt touch,asd32,ASD,1,forced choice,3,calming,10
felt touch,asd32,ASD,1,forced choice,4,attention,-6.6
felt touch,asd32,ASD,1,forced choice,5,gratitude,2.5999999999999996
felt touch,asd32,ASD,1,forced choice,6,happiness,-8.3
felt touch,asd33,ASD,1,forced choice,1,sadness,-1.3000000000000007
felt touch,asd33,ASD,1,forced choice,2,gratitude,-1.8000000000000007
felt touch,asd33,ASD,1,forced choice,3,attention,0
felt touch,asd33,ASD,1,forced choice,4,love,-6.2
felt touch,asd33,ASD,1,forced choice,5,calming,-5.4
felt touch,asd33,ASD,1,forced choice,6,happiness,-7.5
felt touch,sub01,Control,3,forced choice,1,love,7.300000000000001
felt touch,sub01,Control,3,forced choice,2,sadness,5.5
felt touch,sub01,Control,3,forced choice,3,happiness,2.5
felt touch,sub01,Control,3,forced choice,4,calming,3.9
felt touch,sub01,Control,3,forced choice,5,gratitude,2.4000000000000004
felt touch,sub01,Control,3,forced choice,6,attention,-0.8000000000000007
felt touch,sub02,Control,2,forced choice,1,sadness,8.2
felt touch,sub02,Control,2,forced choice,2,happiness,-0.4000000000000003
felt touch,sub02,Control,2,forced choice,3,love,9.8
felt touch,sub02,Control,2,forced choice,4,calming,9.5
felt touch,sub02,Control,2,forced choice,5,gratitude,0.5999999999999996
felt touch,sub02,Control,2,forced choice,6,attention,-2.2
felt touch,sub03,Control,3,forced choice,1,happiness,3.1999999999999993
felt touch,sub03,Control,3,forced choice,2,sadness,7.300000000000001
