trial,cued,response,group,PID
54,sadness,gratitude,ASD,asd12
55,attention,attention,ASD,asd12
56,love,love,ASD,asd12
57,calming,calming,ASD,asd12
58,sadness,gratitude,ASD,asd12
59,happiness,other,ASD,asd12
60,gratitude,attention,ASD,asd12
1,happiness,attention,ASD,asd17
2,sadness,other,ASD,asd17
3,love,calming,ASD,asd17
4,gratitude,sadness,ASD,asd17
5,calming,love,ASD,asd17
6,attention,attention,ASD,asd17
7,happiness,other,ASD,asd17
8,calming,happiness,ASD,asd17
9,attention,attention,ASD,asd17
10,love,calming,ASD,asd17
11,gratitude,happiness,ASD,asd17
12,sadness,love,ASD,asd17
13,sadness,calming,ASD,asd17
14,gratitude,sadness,ASD,asd17
15,happiness,attention,ASD,asd17
16,calming,gratitude,ASD,asd17
17,attention,attention,ASD,asd17
18,love,love,ASD,asd17
19,happiness,sadness,ASD,asd17
20,attention,attention,ASD,asd17
21,gratitude,gratitude,ASD,asd17
22,calming,other,ASD,asd17
23,sadness,love,ASD,asd17
24,love,calming,ASD,asd17
25,sadness,gratitude,ASD,asd17
26,love,calming,ASD,asd17
27,calming,sadness,ASD,asd17
28,attention,attention,ASD,asd17
29,happiness,sadness,ASD,asd17
30,gratitude,happiness,ASD,asd17
31,love,love,ASD,asd17
32,happiness,attention,ASD,asd17
33,gratitude,gratitude,ASD,asd17
34,sadness,happiness,ASD,asd17
35,calming,calming,ASD,asd17
36,attention,attention,ASD,asd17
37,sadness,gratitude,ASD,asd17
38,happiness,attention,ASD,asd17
39,calming,sadness,ASD,asd17
40,attention,attention,ASD,asd17
41,love,calming,ASD,asd17
42,gratitude,happiness,ASD,asd17
43,sadness,calming,ASD,asd17
44,gratitude,gratitude,ASD,asd17
45,calming,love,ASD,asd17
46,love,calming,ASD,asd17
47,happiness,other,ASD,asd17
48,attention,attention,ASD,asd17
49,sadness,gratitude,ASD,asd17
50,calming,love,ASD,asd17
51,gratitude,calming,ASD,asd17
52,attention,attention,ASD,asd17
53,happiness,sadness,ASD,asd17
54,love,love,ASD,asd17
55,calming,calming,ASD,asd17
56,attention,sadness,ASD,asd17
57,gratitude,gratitude,ASD,asd17
58,sadness,gratitude,ASD,asd17
59,happiness,sadness,ASD,asd17
60,love,love,ASD,asd17
1,happiness,attention,ASD,asd18
2,attention,attention,ASD,asd18
3,calming,love,ASD,asd18
4,gratitude,calming,ASD,asd18
5,sadness,calming,ASD,asd18
6,love,love,ASD,asd18
7,sadness,calming,ASD,asd18
8,calming,calming,ASD,asd18
9,love,love,ASD,asd18
10,attention,attention,ASD,asd18
11,happiness,other,ASD,asd18
12,gratitude,calming,ASD,asd18
13,attention,attention,ASD,asd18
14,calming,calming,ASD,asd18
15,gratitude,calming,ASD,asd18
16,sadness,calming,ASD,asd18
17,happiness,other,ASD,asd18
18,love,love,ASD,asd18
19,sadness,calming,ASD,asd18
20,attention,attention,ASD,asd18
21,gratitude,attention,ASD,asd18
22,happiness,other,ASD,asd18
23,love,love,ASD,asd18
24,calming,calming,ASD,asd18
25,sadness,calming,ASD,asd18
26,attention,attention,ASD,asd18
27,calming,calming,ASD,asd18
28,love,love,ASD,asd18
29,happiness,other,ASD,asd18
30,gratitude,attention,ASD,asd18
31,calming,calming,ASD,asd18
32,happiness,other,ASD,asd18
33,love,love,ASD,asd18
34,gratitude,attention,ASD,asd18
35,sadness,attention,ASD,asd18
36,attention,attention,ASD,asd18
37,sadness,calming,ASD,asd18
38,calming,calming,ASD,asd18
39,love,love,ASD,asd18
40,happiness,other,ASD,asd18
41,attention,attention,ASD,asd18
42,gratitude,attention,ASD,asd18
43,attention,attention,ASD,asd18
44,calming,calming,ASD,asd18
45,happiness,other,ASD,asd18
46,love,love,ASD,asd18
47,gratitude,attention,ASD,asd18
48,sadness,calming,ASD,asd18
49,sadness,calming,ASD,asd18
50,love,love,ASD,asd18
51,gratitude,attention,ASD,asd18
52,happiness,other,ASD,asd18
53,attention,attention,ASD,asd18
54,calming,calming,ASD,asd18
55,attention,attention,ASD,asd18
56,gratitude,attention,ASD,asd18
57,happiness,other,ASD,asd18
58,sadness,calming,ASD,asd18
59,love,love,ASD,asd18
60,calming,calming,ASD,asd18
1,gratitude,attention,ASD,asd2
2,love,love,ASD,asd2
3,sadness,attention,ASD,asd2
4,happiness,happiness,ASD,asd2
5,calming,calming,ASD,asd2
6,attention,attention,ASD,asd2
7,attention,attention,ASD,asd2
8,calming,sadness,ASD,asd2
9,sadness,sadness,ASD,asd2
10,gratitude,attention,ASD,asd2
11,happiness,happiness,ASD,asd2
12,love,love,ASD,asd2
13,gratitude,attention,ASD,asd2
14,attention,attention,ASD,asd2
15,happiness,happiness,ASD,asd2
16,sadness,sadness,ASD,asd2
17,calming,sadness,ASD,asd2
18,love,calming,ASD,asd2
19,attention,attention,ASD,asd2
20,calming,other,ASD,asd2
21,gratitude,attention,ASD,asd2
22,sadness,gratitude,ASD,asd2
23,love,love,ASD,asd2
24,happiness,other,ASD,asd2
25,sadness,sadness,ASD,asd2
26,calming,calming,ASD,asd2
27,love,love,ASD,asd2
28,happiness,happiness,ASD,asd2
29,attention,attention,ASD,asd2
30,gratitude,attention,ASD,asd2
31,gratitude,attention,ASD,asd2
32,sadness,sadness,ASD,asd2
33,attention,attention,ASD,asd2
34,calming,calming,ASD,asd2
35,happiness,happiness,ASD,asd2
36,love,love,ASD,asd2
37,happiness,happiness,ASD,asd2
38,calming,calming,ASD,asd2
39,gratitude,attention,ASD,asd2
40,sadness,sadness,ASD,asd2
41,attention,attention,ASD,asd2
42,love,love,ASD,asd2
43,sadness,sadness,ASD,asd2
44,attention,attention,ASD,asd2
45,calming,calming,ASD,asd2
46,love,love,ASD,asd2
47,happiness,other,ASD,asd2
48,gratitude,attention,ASD,asd2
49,love,calming,ASD,asd2
50,attention,attention,ASD,asd2
51,gratitude,attention,ASD,asd2
52,sadness,sadness,ASD,asd2
53,happiness,happiness,ASD,asd2
54,calming,calming,ASD,asd2
55,gratitude,attention,ASD,asd2
56,sadness,attention,ASD,asd2
57,attention,attention,ASD,asd2
58,love,love,ASD,asd2
59,happiness,happiness,ASD,asd2
60,calming,sadness,ASD,asd2
1,happiness,attention,ASD,asd20
2,gratitude,attention,ASD,asd20
3,attention,calming,ASD,asd20
4,love,love,ASD,asd20
5,calming,calming,ASD,asd20
6,sadness,calming,ASD,asd20
7,happiness,attention,ASD,asd20
8,calming,calming,ASD,asd20
9,gratitude,sadness,ASD,asd20
10,sadness,sadness,ASD,asd20
11,attention,attention,ASD,asd20
12,love,love,ASD,asd20
13,sadness,gratitude,ASD,asd20
14,attention,attention,ASD,asd20
15,happiness,attention,ASD,asd20
16,calming,calming,ASD,asd20
17,gratitude,attention,ASD,asd20
18,love,love,ASD,asd20
19,love,love,ASD,asd20
20,gratitude,attention,ASD,asd20
21,sadness,love,ASD,asd20
22,calming,happiness,ASD,asd20
23,happiness,happiness,ASD,asd20
24,attention,attention,ASD,asd20
25,attention,attention,ASD,asd20
26,happiness,attention,ASD,asd20
27,sadness,love,ASD,asd20
28,love,happiness,ASD,asd20
29,calming,sadness,ASD,asd20
30,gratitude,gratitude,ASD,asd20
31,happiness,attention,ASD,asd20
32,love,calming,ASD,asd20
33,calming,love,ASD,asd20
34,attention,attention,ASD,asd20
35,sadness,love,ASD,asd20
36,gratitude,attention,ASD,asd20
37,calming,love,ASD,asd20
38,happiness,attention,ASD,asd20
39,sadness,calming,ASD,asd20
40,attention,attention,ASD,asd20
41,love,love,ASD,asd20
42,gratitude,attention,ASD,asd20
43,happiness,attention,ASD,asd20
44,attention,calming,ASD,asd20
45,love,calming,ASD,asd20
46,sadness,love,ASD,asd20
47,calming,calming,ASD,asd20
48,gratitude,attention,ASD,asd20
49,gratitude,happiness,ASD,asd20
50,happiness,attention,ASD,asd20
51,love,calming,ASD,asd20
52,calming,love,ASD,asd20
53,sadness,calming,ASD,asd20
54,attention,attention,ASD,asd20
55,love,calming,ASD,asd20
56,calming,love,ASD,asd20
57,gratitude,attention,ASD,asd20
58,sadness,love,ASD,asd20
59,happiness,attention,ASD,asd20
60,attention,attention,ASD,asd20
1,sadness,calming,ASD,asd23
2,calming,calming,ASD,asd23
3,gratitude,attention,ASD,asd23
4,attention,attention,ASD,asd23
5,happiness,happiness,ASD,asd23
6,love,love,ASD,asd23
7,attention,attention,ASD,asd23
8,calming,calming,ASD,asd23
9,love,love,ASD,asd23
10,happiness,happiness,ASD,asd23
11,sadness,calming,ASD,asd23
12,gratitude,attention,ASD,asd23
13,gratitude,attention,ASD,asd23
14,love,love,ASD,asd23
15,attention,attention,ASD,asd23
16,sadness,calming,ASD,asd23
17,calming,calming,ASD,asd23
18,happiness,happiness,ASD,asd23
19,gratitude,attention,ASD,asd23
20,love,love,ASD,asd23
21,happiness,happiness,ASD,asd23
22,attention,attention,ASD,asd23
23,calming,calming,ASD,asd23
24,sadness,gratitude,ASD,asd23
25,happiness,happiness,ASD,asd23
26,attention,attention,ASD,asd23
27,calming,calming,ASD,asd23
28,sadness,other,ASD,asd23
29,love,love,ASD,asd23
30,gratitude,attention,ASD,asd23
31,happiness,happiness,ASD,asd23
32,attention,attention,ASD,asd23
33,love,love,ASD,asd23
34,sadness,calming,ASD,asd23
35,calming,calming,ASD,asd23
36,gratitude,happiness,ASD,asd23
37,love,love,ASD,asd23
38,attention,attention,ASD,asd23
39,happiness,happiness,ASD,asd23
40,sadness,calming,ASD,asd23
41,gratitude,happiness,ASD,asd23
42,calming,calming,ASD,asd23
43,sadness,calming,ASD,asd23
44,attention,attention,ASD,asd23
45,happiness,happiness,ASD,asd23
46,calming,calming,ASD,asd23
47,love,love,ASD,asd23
48,gratitude,happiness,ASD,asd23
49,happiness,happiness,ASD,asd23
50,sadness,calming,ASD,asd23
51,gratitude,happiness,ASD,asd23
52,calming,calming,ASD,asd23
53,attention,attention,ASD,asd23
54,love,love,ASD,asd23
55,sadness,calming,ASD,asd23
56,love,love,ASD,asd23
57,attention,attention,ASD,asd23
58,gratitude,happiness,ASD,asd23
59,happiness,happiness,ASD,asd23
60,calming,calming,ASD,asd23
1,happiness,other,ASD,asd24
2,attention,attention,ASD,asd24
3,gratitude,calming,ASD,asd24
4,calming,calming,ASD,asd24
5,sadness,sadness,ASD,asd24
6,love,love,ASD,asd24
7,love,calming,ASD,asd24
8,gratitude,gratitude,ASD,asd24
9,sadness,calming,ASD,asd24
10,calming,calming,ASD,asd24
11,happiness,other,ASD,asd24
12,attention,attention,ASD,asd24
13,happiness,other,ASD,asd24
14,love,calming,ASD,asd24
15,gratitude,happiness,ASD,asd24
16,attention,attention,ASD,asd24
17,calming,calming,ASD,asd24
18,sadness,sadness,ASD,asd24
19,happiness,other,ASD,asd24
20,sadness,sadness,ASD,asd24
21,love,love,ASD,asd24
22,calming,calming,ASD,asd24
23,gratitude,gratitude,ASD,asd24
24,attention,attention,ASD,asd24
25,gratitude,gratitude,ASD,asd24
26,love,love,ASD,asd24
27,calming,calming,ASD,asd24
28,sadness,sadness,ASD,asd24
29,happiness,other,ASD,asd24
30,attention,attention,ASD,asd24
31,happiness,other,ASD,asd24
32,calming,calming,ASD,asd24
33,love,love,ASD,asd24
34,sadness,sadness,ASD,asd24
35,attention,attention,ASD,asd24
36,gratitude,gratitude,ASD,asd24
37,sadness,calming,ASD,asd24
38,love,love,ASD,asd24
39,happiness,other,ASD,asd24
40,gratitude,gratitude,ASD,asd24
